magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
8,9,8,1890,0,3.18,17,122.57,2019-5,1,-5.8119,-75.2697
7.6,7,7,929,0,0.453,16,10,2019-5,1,-4.051,152.597
7.1,7,6,826,0,2.514,16,146,2019-5,1,-6.9746,146.449
6.8,5,6,717,0,0.791,28,15.46,2019-4,1,-1.8146,122.58
6.5,0,5,650,0,7.568,18,38,2019-4,1,-58.6262,-25.304
7,7,4,869,0,2.501,42,267,2019-3,1,-14.7131,-70.1546
7.5,7,7,1145,0,2.045,15,145,2019-2,1,-2.1862,-77.0505
6.7,6,6,909,0,0.289,43,66,2019-2,1,14.6802,-92.4527
6.7,0,3,691,0,7.527,17,13,2019-1,0,-43.1219,42.3568
6.7,8,8,1600,0,0.173,22,63,2019-1,1,-30.0404,-71.3815
6.6,5,4,671,0,7.818,18,35,2019-1,1,-13.336,166.875
6.6,2,4,672,0,1.596,33,43.21,2019-1,1,2.258,126.758
6.8,3,3,715,0,1.181,16,570.41,2019-1,0,-8.144,-71.587
7,5,5,803,0,1.769,21,60.21,2018-12,1,5.8983,126.921
7.3,3,7,822,0,4.126,23,16.56,2018-12,1,55.0999,164.699
7.1,0,5,776,0,7.043,20,133,2018-12,1,-58.5446,-26.3856
6.6,0,4,670,0,2.679,31,10,2018-12,1,-22.0629,169.733
7.5,3,6,871,0,2.405,18,10,2018-12,1,-21.9496,169.427
7.1,8,8,1790,0,0,0,46.7,2018-11,1,61.3464,-149.955
6.8,0,3,711,0,2.879,39,540,2018-11,1,-17.8735,-178.927
6.7,3,4,693,0,7.853,19,10,2018-11,1,71.6312,-11.2431
6.8,8,7,954,0,2.268,15,14,2018-10,0,37.5203,20.5565
6.5,2,4,655,0,1.692,68,10,2018-10,0,49.297,-129.724
6.8,4,4,776,0,1.505,36,10,2018-10,1,49.3346,-129.289
6.5,3,4,669,0,1.611,63,10,2018-10,1,49.2586,-129.412
6.5,0,4,650,0,2.109,22,17,2018-10,1,-21.7427,169.522
6.7,0,3,691,0,2.705,17,461,2018-10,1,52.8549,153.243
6.5,0,4,650,0,3.923,14,20,2018-10,1,49.2902,156.297
7,6,6,758,0,1.778,18,39,2018-10,1,-5.7012,151.205
6.7,2,3,691,0,3.745,23,550,2018-9,1,-18.3604,-178.063
7.5,8,8,2026,0,1.649,13,20,2018-9,0,-0.2559,119.846
6.5,4,1,651,0,5.139,18,576,2018-9,0,-25.415,178.199
6.9,3,4,735,0,2.785,18,115,2018-9,0,-31.7447,-179.373
6.5,3,6,651,0,1.638,25,68,2018-9,1,-10.0207,161.503
7.9,7,4,979,0,1.431,12,670.81,2018-9,1,-18.4743,179.35
6.6,8,9,1075,0,1.13,32,35,2018-9,1,42.6861,141.929
7.1,2,5,776,0,2.548,23,21.43,2018-8,1,-22.0295,170.126
7.1,0,3,776,0,3.77,12,630,2018-8,0,-11.0355,-70.8284
6.5,6,7,652,0,4.797,10,9,2018-8,1,-16.0315,168.143
7.3,8,6,1570,0,1.822,15,146.82,2018-8,1,10.7731,-62.9019
6.9,7,7,1206,0,2.453,31,21,2018-8,0,-8.319,116.627
8.2,5,4,1050,0,3.63,13,600,2018-8,1,-18.1125,-178.153
6.5,5,3,743,0,2.719,23,529,2018-8,0,-7.3718,119.802
6.5,6,6,655,0,0.576,22,33.93,2018-8,1,51.4234,-178.026
6.9,9,8,1704,0,2.271,15,34,2018-8,0,-8.2581,116.438
6.9,7,8,1392,63,0.11,210,5.81,2018-5,1,19.3182,-155
6.8,5,3,733,0,5.32,16,559,2018-4,0,-20.6588,-63.0058
6.9,9,6,741,0,1.487,18,35,2018-3,1,-5.5321,151.5
6.7,5,6,696,0,1.507,15,40,2018-3,1,-5.5024,151.402
6.8,6,6,719,0,1.049,16,22.86,2018-3,1,-4.3762,153.2
6.7,8,7,697,0,5.457,19,20.49,2018-3,1,-6.3043,142.612
7.5,9,8,943,0,5.48,17,25.21,2018-2,1,-6.0699,142.754
7.2,7,7,1384,0,0.142,82,22,2018-2,1,16.3855,-97.9787
7.9,9,4,1870,0,2.585,30,14.06,2018-1,1,56.0039,-149.166
7.1,9,7,1075,0,4.29,23,39,2018-1,1,-15.7675,-74.7092
7.5,8,5,1623,0,4.581,12,19,2018-1,1,17.4825,-83.52
6.5,8,7,998,0,2.365,28,90,2017-12,0,-7.4921,108.174
6.5,1,5,651,0,17.654,23,17,2017-12,1,-54.2189,2.1628
7,4,6,771,0,0.617,14,10,2017-11,1,-21.3246,168.671
6.6,4,5,676,0,0.529,21,13,2017-11,1,-21.5027,168.598
