dt,AverageTemperature,AverageTemperatureUncertainty,City,LatitudeAndLongitude
1998-01-01T00:00:00Z,18.433,0.5489999999999999,Addis Abeba,"8.84,38.11"
1998-02-01T00:00:00Z,19.196,0.999,Addis Abeba,"8.84,38.11"
1998-03-01T00:00:00Z,19.538,1.166,Addis Abeba,"8.84,38.11"
1998-04-01T00:00:00Z,21.156,0.573,Addis Abeba,"8.84,38.11"
1998-05-01T00:00:00Z,19.964000000000002,0.873,Addis Abeba,"8.84,38.11"
1998-06-01T00:00:00Z,18.914,1.473,Addis Abeba,"8.84,38.11"
1998-07-01T00:00:00Z,17.113,0.959,Addis Abeba,"8.84,38.11"
1998-08-01T00:00:00Z,17.046,0.9,Addis Abeba,"8.84,38.11"
1998-09-01T00:00:00Z,17.296,0.6,Addis Abeba,"8.84,38.11"
1998-10-01T00:00:00Z,17.054000000000002,0.453,Addis Abeba,"8.84,38.11"
1998-11-01T00:00:00Z,16.671,1.05,Addis Abeba,"8.84,38.11"
1998-12-01T00:00:00Z,16.552,0.8290000000000001,Addis Abeba,"8.84,38.11"
1999-01-01T00:00:00Z,18.105,0.517,Addis Abeba,"8.84,38.11"
1999-02-01T00:00:00Z,20.043,0.88,Addis Abeba,"8.84,38.11"
1999-03-01T00:00:00Z,19.78,0.78,Addis Abeba,"8.84,38.11"
1999-04-01T00:00:00Z,20.504,0.649,Addis Abeba,"8.84,38.11"
1999-05-01T00:00:00Z,19.61,0.956,Addis Abeba,"8.84,38.11"
1999-06-01T00:00:00Z,18.359,0.315,Addis Abeba,"8.84,38.11"
1999-07-01T00:00:00Z,15.956,1.3159999999999998,Addis Abeba,"8.84,38.11"
1999-08-01T00:00:00Z,15.768,0.457,Addis Abeba,"8.84,38.11"
1999-09-01T00:00:00Z,16.885,0.6509999999999999,Addis Abeba,"8.84,38.11"
1999-10-01T00:00:00Z,16.299,0.789,Addis Abeba,"8.84,38.11"
1999-11-01T00:00:00Z,16.393,0.4270000000000001,Addis Abeba,"8.84,38.11"
1999-12-01T00:00:00Z,16.587,0.275,Addis Abeba,"8.84,38.11"
2000-01-01T00:00:00Z,17.391000000000002,0.579,Addis Abeba,"8.84,38.11"
2000-02-01T00:00:00Z,19.183,0.841,Addis Abeba,"8.84,38.11"
2000-03-01T00:00:00Z,20.23,0.501,Addis Abeba,"8.84,38.11"
2000-04-01T00:00:00Z,20.398,0.362,Addis Abeba,"8.84,38.11"
2000-05-01T00:00:00Z,19.977,0.838,Addis Abeba,"8.84,38.11"
2000-06-01T00:00:00Z,18.254,1.096,Addis Abeba,"8.84,38.11"
2000-07-01T00:00:00Z,17.109,0.463,Addis Abeba,"8.84,38.11"
2000-08-01T00:00:00Z,16.944000000000003,0.471,Addis Abeba,"8.84,38.11"
2000-09-01T00:00:00Z,17.542,0.243,Addis Abeba,"8.84,38.11"
2000-10-01T00:00:00Z,17.113,0.456,Addis Abeba,"8.84,38.11"
2000-11-01T00:00:00Z,17.741,1.812,Addis Abeba,"8.84,38.11"
2000-12-01T00:00:00Z,17.012999999999998,0.335,Addis Abeba,"8.84,38.11"
2001-01-01T00:00:00Z,17.454,0.84,Addis Abeba,"8.84,38.11"
2001-02-01T00:00:00Z,18.864,0.58,Addis Abeba,"8.84,38.11"
2001-03-01T00:00:00Z,20.043000000000006,0.481,Addis Abeba,"8.84,38.11"
2001-04-01T00:00:00Z,20.233,0.304,Addis Abeba,"8.84,38.11"
2001-05-01T00:00:00Z,19.908,0.457,Addis Abeba,"8.84,38.11"
2001-06-01T00:00:00Z,17.977999999999994,0.892,Addis Abeba,"8.84,38.11"
